position,rmse,r2,cv_rmse,cv_r2,naive_baseline_rmse,beats_baseline,cv_degraded,model_name,train_size,test_size
Goalkeeper,1.8966357939721048,0.42246246337890625,1.7572305556525432,0.3665626843770345,2.0592442940080886,True,False,XGBRegressor,,
Defender,2.5623336365823115,0.200259268283844,2.343678071695079,0.18977083762486777,2.4801309778273204,False,False,XGBRegressor,,
Midfielder,2.0384219979657723,0.31809115409851074,2.020386792372094,0.3174957235654195,2.184063696000627,True,False,XGBRegressor,,
Forward,2.282410940248227,0.23490697145462036,2.1755088797749558,0.2872737646102905,2.4701452265454016,True,False,XGBRegressor,,
